,Plate 96,Well 96,Chemical name,Prestwick number,CAS number,Chemical formula,Class,Effect
51,Plate01,E04,Betazole hydrochloride,Prestw-43,138-92-1,C5H11Cl2N3,['Gastroenterology'],['Diagnostic']
52,Plate01,E05,Isoxicam,Prestw-44,34552-84-6,C14H13N3O5S,"['Central Nervous System', 'Metabolism']","['Analgesic', 'Anti-inflammatory', 'Antipyretic']"
53,Plate01,E06,Naproxen,Prestw-45,22204-53-1,C14H14O3,"['Central Nervous System', 'Metabolism']","['Analgesic', 'Anti-inflammatory', 'Antipyretic']"
54,Plate01,E07,Naphazoline hydrochloride,Prestw-46,550-99-2,C14H15ClN2,['Cardiovascular'],"['Nasal Decongestant', 'Vasoconstrictor']"
55,Plate01,E08,Ticlopidine hydrochloride,Prestw-47,53885-35-1,C14H15Cl2NS,['Hematology'],"['Anticoagulant', 'Antiplatelet']"
56,Plate01,E09,Dicyclomine hydrochloride,Prestw-48,67-92-5,C19H36ClNO2,['Gastroenterology'],['Antispastic']
57,Plate01,E10,Amyleine hydrochloride,Prestw-49,532-59-2,C14H22ClNO2,['Neuromuscular'],['Local anesthetic']
58,Plate01,E11,Lidocaine hydrochloride,Prestw-50,73-78-9,C14H23ClN2O,"['Cardiovascular', 'Neuromuscular']","['Antiarrhythmic', 'Local anesthetic']"
59,Plate01,E12,DMSO,,,,,
60,Plate01,F01,DMSO,,,,,
61,Plate01,F02,Trichlorfon,Prestw-51,52-68-6,C4H8Cl3O4P,['Infectiology'],['Antiparasitic']
62,Plate01,F03,Carbamazepine,Prestw-52,298-46-4,C15H12N2O,['Central Nervous System'],"['Analgesic', 'Anticonvulsant', 'Antidiuretic', 'Muscle relaxant']"
63,Plate01,F04,Triflupromazine hydrochloride,Prestw-53,1098-60-8,C18H20ClF3N2S,['Central Nervous System'],"['Antiemetic', 'Antipsychotic', 'Anxiolytic']"
64,Plate01,F05,Mefenamic acid,Prestw-54,61-68-7,C15H15NO2,"['Central Nervous System', 'Metabolism']","['Analgesic', 'Anti-inflammatory', 'Antipyretic']"
65,Plate01,F06,Acetohexamide,Prestw-55,968-81-0,C15H20N2O4S,['Endocrinology'],['Antidiabetic']
66,Plate01,F07,Sulpiride,Prestw-56,15676-16-1,C15H23N3O4S,['Central Nervous System'],"['Antidepressant', 'Antiemetic', 'Antipsychotic']"
67,Plate01,F08,Benoxinate hydrochloride,Prestw-57,5987-82-6,C17H29ClN2O3,['Neuromuscular'],['Local anesthetic']
68,Plate01,F09,Oxethazaine,Prestw-58,126-27-2,C28H41N3O3,['Neuromuscular'],['Local anesthetic']
69,Plate01,F10,Pheniramine maleate,Prestw-59,132-20-7,C20H24N2O4,"['Allergology', 'Central Nervous System']","['Antihistaminic', 'Antitussive', 'Sedative']"
70,Plate01,F11,Tolazoline hydrochloride,Prestw-60,59-97-2,C10H13ClN2,['Cardiovascular'],['Vasodilator']
71,Plate01,F12,DMSO,,,,,
72,Plate01,G01,DMSO,,,,,
73,Plate01,G02,Morantel tartrate,Prestw-61,26155-31-7,C16H22N2O6S,['Infectiology'],['Antihelmintic']
74,Plate01,G03,"Homatropine hydrobromide (R,S)",Prestw-62,51-56-9,C16H22BrNO3,"['Diagnostic', 'Ophthalmology']","['Antispastic', 'Mydriatic']"
75,Plate01,G04,Nifedipine,Prestw-63,21829-25-4,C17H18N2O6,['Cardiovascular'],"['Antianginal', 'Antihypertensive', 'Vasodilator']"
76,Plate01,G05,Chlorpromazine hydrochloride,Prestw-64,69-09-0,C17H20Cl2N2S,"['Cardiovascular', 'Central Nervous System']","['Antiemetic', 'Antihypertensive', 'Antipsychotic']"
77,Plate01,G06,Diphenhydramine hydrochloride,Prestw-65,147-24-0,C17H22ClNO,"['Allergology', 'Central Nervous System']","['Antiemetic', 'Antihistaminic', 'Antitussive', 'Sedative']"
78,Plate01,G07,Minaprine dihydrochloride,Prestw-66,25953-17-7,C17H24Cl2N4O,['Central Nervous System'],"['Anti-Alzheimer', 'Antidepressant']"
79,Plate01,G08,Miconazole,Prestw-67,22916-47-8,C18H14Cl4N2O,"['Infectiology', 'Metabolism']",['Antifungal']
80,Plate01,G09,Isoxsuprine hydrochloride,Prestw-68,579-56-6,C18H24ClNO3,['Cardiovascular'],['Vasodilator']
81,Plate01,G10,Acebutolol hydrochloride,Prestw-69,34381-68-5,C18H29ClN2O4,['Cardiovascular'],"['Antianginal', 'Antiarrhythmic', 'Antihypertensive']"
82,Plate01,G11,Tolnaftate,Prestw-70,2398-96-1,C19H17NOS,['Infectiology'],['Antifungal']
83,Plate01,G12,DMSO,,,,,
84,Plate01,H01,DMSO,,,,,
85,Plate01,H02,Todralazine hydrochloride,Prestw-71,3778-76-5,C11H13ClN4O2,['Cardiovascular'],['Antihypertensive']
86,Plate01,H03,Imipramine hydrochloride,Prestw-72,113-52-0,C19H25ClN2,['Central Nervous System'],['Antidepressant']
87,Plate01,H04,Sulindac,Prestw-73,38194-50-2,C20H17FO3S,['Central Nervous System'],"['Analgesic', 'Anti-inflammatory', 'Antipyretic']"
88,Plate01,H05,Amitryptiline hydrochloride,Prestw-74,549-18-8,C20H24ClN,['Central Nervous System'],['Antidepressant']
89,Plate01,H06,Adiphenine hydrochloride,Prestw-75,50-42-0,C20H26ClNO2,['Neuromuscular'],['Antispastic']
90,Plate01,H07,Dibucaine,Prestw-76,85-79-0,C20H29N3O2,['Neuromuscular'],['Local anesthetic']
91,Plate01,H08,Prednisone,Prestw-77,53-03-2,C21H26O5,"['Dermatology', 'Endocrinology', 'Immunology']","['Anti-inflammatory', 'Antipruritic', 'Immunosuppressant']"
92,Plate01,H09,Thioridazine hydrochloride,Prestw-78,130-61-0,C21H27ClN2S2,['Central Nervous System'],['Antipsychotic']
93,Plate01,H10,Diphemanil methylsulfate,Prestw-79,62-97-5,C21H27NO4S,['Gastroenterology'],"['Antispastic', 'Antiulcer']"
94,Plate01,H11,Trimethobenzamide hydrochloride,Prestw-80,554-92-7,C21H29ClN2O5,['Central Nervous System'],['Antiemetic']
95,Plate01,H12,DMSO,,,,,
96,Plate02,A01,DMSO,,,,,
97,Plate02,A02,Metronidazole,Prestw-81,443-48-1,C6H9N3O3,"['Infectiology', 'Metabolism']","['Antiamebic', 'Antibacterial', 'Antiprotozoal']"
98,Plate02,A03,Fulvestrant,Prestw-1424,129453-61-8,C32H47F5O3S,"['Endocrinology', 'Oncology']",['Antineoplastic']
99,Plate02,A04,Edrophonium chloride,Prestw-83,116-38-1,C10H16ClNO,"['Diagnostic', 'Neuromuscular']",['Anti-fatigue']
100,Plate02,A05,Moroxidine hydrochloride,Prestw-84,3160-91-6,C6H14ClN5O,['Infectiology'],['Antiviral']
101,Plate02,A06,"Baclofen (R,S)",Prestw-85,1134-47-0,C10H12ClNO2,['Central Nervous System'],"['Antispastic', 'Muscle relaxant']"
102,Plate02,A07,Acyclovir,Prestw-86,59277-89-3,C8H11N5O3,['Metabolism'],['Antiviral']
103,Plate02,A08,Diazoxide,Prestw-87,364-98-7,C8H7ClN2O2S,"['Cardiovascular', 'Metabolism']","['Antidiuretic', 'Antihypertensive', 'Vasodilator']"
104,Plate02,A09,Amidopyrine,Prestw-88,58-15-1,C13H17N3O,"['Central Nervous System', 'Metabolism']","['Analgesic', 'Anti-inflammatory', 'Antipyretic']"
105,Plate02,A10,Busulfan,Prestw-1179,55-98-1,C6H14O6S2,['Oncology'],['Antineoplastic']
106,Plate02,A11,Pindolol,Prestw-90,13523-86-9,C14H20N2O2,"['Cardiovascular', 'Ophthalmology']","['Antianginal', 'Antiarrhythmic', 'Antiglaucoma', 'Antihypertensive']"
107,Plate02,A12,DMSO,,,,,
108,Plate02,B01,DMSO,,,,,
109,Plate02,B02,Khellin,Prestw-91,82-02-0,C14H12O5,"['Cardiovascular', 'Gastroenterology', 'Respiratory']","['Antispastic', 'Antitussive', 'Vasodilator']"
110,Plate02,B03,Zimelidine dihydrochloride monohydrate,Prestw-92,61129-30-4,C16H21BrCl2N2O,['Central Nervous System'],['Antidepressant']
111,Plate02,B04,Azacyclonol,Prestw-93,115-46-8,C18H21NO,['Central Nervous System'],['Antipsychotic']
112,Plate02,B05,Azathioprine,Prestw-94,446-86-6,C9H7N7O2S,['Oncology'],"['Antineoplastic', 'Immunosuppressant']"
113,Plate02,B06,Lynestrenol,Prestw-95,52-76-6,C20H28O,['Endocrinology'],['Contraceptive']
114,Plate02,B07,Guanabenz acetate,Prestw-96,23256-50-0,C10H12Cl2N4O2,['Central Nervous System'],['Antihypertensive']
115,Plate02,B08,Disulfiram,Prestw-97,97-77-8,C10H20N2S4,['Metabolism'],['Antabuse effect']
116,Plate02,B09,Acetylsalicylsalicylic acid,Prestw-98,530-75-6,C16H12O6,"['Central Nervous System', 'Metabolism']","['Analgesic', 'Anticoagulant', 'Anti-inflammatory', 'Antipyretic']"
117,Plate02,B10,Mianserine hydrochloride,Prestw-99,21535-47-7,C18H21ClN2,['Cardiovascular'],"['Antidepressant', 'Anxiolytic']"
118,Plate02,B11,Nocodazole,Prestw-100,31430-18-9,C14H11N3O3S,['Oncology'],['Antineoplastic']
119,Plate02,B12,DMSO,,,,,
120,Plate02,C01,DMSO,,,,,
121,Plate02,C02,R(-) Apomorphine hydrochloride hemihydrate,Prestw-101,41372-20-7,C34H38Cl2N2O5,['Central Nervous System'],"['Antiparkinsonian', 'Emetic']"
122,Plate02,C03,Amoxapine,Prestw-102,14028-44-5,C17H16ClN3O,['Central Nervous System'],"['Antidepressant', 'Antipsychotic']"
123,Plate02,C04,Cyproheptadine hydrochloride,Prestw-103,969-33-5,C21H22ClN,"['Allergology', 'Central Nervous System']","['Antihistaminic', 'Antipruritic', 'Sedative']"
124,Plate02,C05,Famotidine,Prestw-104,76824-35-6,C8H15N7O2S3,['Gastroenterology'],['Antiulcer']
125,Plate02,C06,Danazol,Prestw-105,17230-88-5,C22H27NO2,['Endocrinology'],"['Anabolic', 'Antigonadotropin']"
126,Plate02,C07,Nicorandil,Prestw-106,65141-46-0,C8H9N3O4,['Cardiovascular'],"['Antianginal', 'Vasodilator']"
127,Plate02,C08,Pioglitazone,Prestw-1314,111025-46-8,C19H20N2O3S,"['Endocrinology', 'Metabolism']",[nan]
128,Plate02,C09,Nomifensine maleate,Prestw-108,32795-47-4,C20H22N2O4,['Central Nervous System'],['Antidepressant']
129,Plate02,C10,Dizocilpine maleate,Prestw-109,77086-22-7,C20H19NO4,['Central Nervous System'],['Anticonvulsant']
130,Plate02,C11,Oxandrolone,Prestw-1192,53-39-4,C19H30O3,['Endocrinology'],[nan]
131,Plate02,C12,DMSO,,,,,
132,Plate02,D01,DMSO,,,,,
133,Plate02,D02,Naloxone hydrochloride,Prestw-111,357-08-4,C19H22ClNO4,['Central Nervous System'],['Opioate antidote']
134,Plate02,D03,Metolazone,Prestw-112,17560-51-9,C16H16ClN3O3S,['Cardiovascular'],"['Antihypertensive', 'Diuretic']"
135,Plate02,D04,Ciprofloxacin hydrochloride monohydrate,Prestw-113,93107-08-5,C17H21ClFN3O4,"['Infectiology', 'Metabolism']","['Antibacterial', 'Antiprotozoal']"
136,Plate02,D05,Ampicillin trihydrate,Prestw-114,7177-48-2,C16H25N3O7S,"['Infectiology', 'Metabolism']",['Antibacterial']
137,Plate02,D06,Haloperidol,Prestw-115,52-86-8,C21H23ClFNO2,['Central Nervous System'],"['Antiemetic', 'Antipsychotic']"
138,Plate02,D07,Naltrexone hydrochloride dihydrate,Prestw-116,16676-29-2,C20H28ClNO6,['Central Nervous System'],['Analgesic']
139,Plate02,D08,Chlorpheniramine maleate,Prestw-117,113-92-8,C20H23ClN2O4,"['Allergology', 'Central Nervous System']","['Antihistaminic', 'Antitussive', 'Sedative']"
140,Plate02,D09,Nalbuphine hydrochloride,Prestw-118,23277-43-2,C21H28ClNO4,['Central Nervous System'],['Analgesic']
141,Plate02,D10,Picotamide monohydrate,Prestw-119,80530-63-8,C21H22N4O4,['Hematology'],"['Anticoagulant', 'Antiplatelet', 'Thrombolytic']"
142,Plate02,D11,Triamcinolone,Prestw-120,124-94-7,C21H27FO6,"['Endocrinology', 'Immunology']","['Anti-inflammatory', 'Immunosuppressant']"
143,Plate02,D12,DMSO,,,,,
144,Plate02,E01,DMSO,,,,,
145,Plate02,E02,Bromocryptine mesylate,Prestw-121,22260-51-1,C33H44BrN5O8S,['Central Nervous System'],['Antiparkinsonian']
146,Plate02,E03,Amfepramone hydrochloride,Prestw-1471,90-84-6,C13H20ClNO,['Central Nervous System'],[nan]
147,Plate02,E04,Dehydrocholic acid,Prestw-123,81-23-2,C24H34O5,"['Gastroenterology', 'Metabolism']",['Choleretic']
148,Plate02,E05,Tioconazole,Prestw-1184,65899-73-2,C16H13Cl3N2OS,"['Infectiology', 'Metabolism']",['Antifungal']
149,Plate02,E06,Perphenazine,Prestw-125,58-39-9,C21H26ClN3OS,['Central Nervous System'],"['Antiemetic', 'Antipsychotic']"
150,Plate02,E07,Mefloquine hydrochloride,Prestw-126,51773-92-3,C17H17ClF6N2O,['Infectiology'],['Antimalarial']
151,Plate02,E08,Isoconazole,Prestw-127,27523-40-6,C18H14Cl4N2O,"['Infectiology', 'Metabolism']","['Antibacterial', 'Antifungal']"
152,Plate02,E09,Spironolactone,Prestw-128,52-01-7,C24H32O4S,['Endocrinology'],['Diuretic']
153,Plate02,E10,Pirenzepine dihydrochloride,Prestw-129,29868-97-1,C19H23Cl2N5O2,['Gastroenterology'],['Antiulcer']
154,Plate02,E11,Dexamethasone acetate,Prestw-130,1177-87-3,C24H31FO6,"['Endocrinology', 'Metabolism']","['Anti-inflammatory', 'Immunosuppressant']"
155,Plate02,E12,DMSO,,,,,
156,Plate02,F01,DMSO,,,,,
157,Plate02,F02,Glipizide,Prestw-131,29094-61-9,C21H27N5O4S,['Endocrinology'],['Antidiabetic']
158,Plate02,F03,Loxapine succinate,Prestw-132,27833-64-3,C22H24ClN3O5,['Central Nervous System'],"['Antipsychotic', 'Anxiolytic']"
159,Plate02,F04,Hydroxyzine dihydrochloride,Prestw-133,2192-20-3,C21H29Cl3N2O2,"['Allergology', 'Central Nervous System']","['Antiemetic', 'Antihistaminic', 'Antipruritic', 'Anxiolytic', 'Sedative']"
160,Plate02,F05,Diltiazem hydrochloride,Prestw-134,33286-22-5,C22H27ClN2O4S,"['Cardiovascular', 'Hematology', 'Metabolism']","['Antianginal', 'Antiarrhythmic', 'Antihypertensive', 'Antiplatelet', 'Diuretic', 'Vasodilator']"
161,Plate02,F06,Methotrexate,Prestw-135,59-05-2,C20H22N8O5,['Oncology'],['Antineoplastic']
162,Plate02,F07,Astemizole,Prestw-136,68844-77-9,C28H31FN4O,['Allergology'],['Antihistaminic']
163,Plate02,F08,Clindamycin hydrochloride,Prestw-137,21462-39-5,C18H34Cl2N2O5S,"['Infectiology', 'Metabolism']",['Antibacterial']
164,Plate02,F09,Terfenadine,Prestw-138,50679-08-8,C32H41NO2,['Allergology'],"['Antihistaminic', 'Antipruritic']"
165,Plate02,F10,Cefotaxime sodium salt,Prestw-139,64485-93-4,C16H16N5NaO7S2,"['Infectiology', 'Metabolism']",['Antibacterial']
166,Plate02,F11,Tetracycline hydrochloride,Prestw-140,64-75-5,C22H25ClN2O8,"['Infectiology', 'Metabolism']",['Antibacterial']
167,Plate02,F12,DMSO,,,,,
168,Plate02,G01,DMSO,,,,,
169,Plate02,G02,Verapamil hydrochloride,Prestw-141,152-11-4,C27H39ClN2O4,['Cardiovascular'],['Antihypertensive']
170,Plate02,G03,Dipyridamole,Prestw-142,58-32-2,C24H40N8O4,"['Cardiovascular', 'Hematology']","['Anticoagulant', 'Antiplatelet', 'Vasodilator']"
171,Plate02,G04,Chlorhexidine,Prestw-143,55-56-1,C22H30Cl2N10,['Infectiology'],"['Antibacterial', 'Antiseptic']"
172,Plate02,G05,Loperamide hydrochloride,Prestw-144,34552-83-5,C29H34Cl2N2O2,['Gastroenterology'],['Antidiarrheal']
173,Plate02,G06,Chlortetracycline hydrochloride,Prestw-145,64-72-2,C22H24Cl2N2O8,"['Infectiology', 'Metabolism']","['Antiamebic', 'Antibacterial']"
174,Plate02,G07,Tamoxifen citrate,Prestw-146,54965-24-1,C32H37NO8,"['Endocrinology', 'Oncology']",['Antineoplastic']
175,Plate02,G08,Nicergoline,Prestw-147,not available,C24H26BrN3O3,['Cardiovascular'],"['Anti-ischemic', 'Vasodilator']"
176,Plate02,G09,Canrenoic acid potassium salt,Prestw-148,2181-04-6,C22H29KO4,['Endocrinology'],"['Antihypertensive', 'Diuretic']"
177,Plate02,G10,Thioproperazine dimesylate,Prestw-149,2347-80-0,C24H38N4O8S4,['Central Nervous System'],"['Antiemetic', 'Antipsychotic']"
178,Plate02,G11,Dihydroergotamine tartrate,Prestw-150,5989-77-5,C70H80N10O16,['Central Nervous System'],['Antimigraine']
179,Plate02,G12,DMSO,,,,,
180,Plate02,H01,DMSO,,,,,
181,Plate02,H02,Erythromycin,Prestw-151,114-07-8,C37H67NO13,"['Infectiology', 'Metabolism']","['Antibacterial', 'Anti-inflammatory']"
182,Plate02,H03,Chloroxine,Prestw-1474,773-76-2,C9H5Cl2NO,"['Dermatology', 'Metabolism']",[nan]
183,Plate02,H04,Didanosine,Prestw-153,69655-05-6,C10H12N4O3,"['Infectiology', 'Metabolism']",['Antiviral']
184,Plate02,H05,Josamycin,Prestw-154,16846-24-5,C42H69NO15,"['Infectiology', 'Metabolism']",['Antibacterial']
185,Plate02,H06,Paclitaxel,Prestw-155,33069-62-4,C47H51NO14,['Oncology'],['Antineoplastic']
186,Plate02,H07,Ivermectin,Prestw-156,70288-86-7,C48H74O14,"['Infectiology', 'Metabolism']","['Antihelmintic', 'Antiparasitic']"
187,Plate02,H08,Gallamine triethiodide,Prestw-157,65-29-2,C30H60I3N3O3,['Neuromuscular'],['Muscle relaxant']
188,Plate02,H09,Neomycin sulfate,Prestw-158,1405-10-3,C23H48N6O17S,"['Infectiology', 'Metabolism']",['Antibacterial']
189,Plate02,H10,Dihydrostreptomycin sulfate,Prestw-159,5490-27-7,C42H88N14O36S3,"['Infectiology', 'Metabolism']",['Antibacterial']
190,Plate02,H11,Gentamicine sulfate,Prestw-160,1405-41-0,C60H125N15O25S,"['Infectiology', 'Metabolism']",['Antibacterial']
191,Plate02,H12,DMSO,,,,,
192,Plate03,A01,DMSO,,,,,
193,Plate03,A02,Isoniazid,Prestw-161,54-85-3,C6H7N3O,"['Infectiology', 'Metabolism']",['Antibacterial']
194,Plate03,A03,Pentylenetetrazole,Prestw-162,54-95-5,C6H10N4,"['Central Nervous System', 'Respiratory']","['Analeptic', 'CNS Stimulant']"
195,Plate03,A04,Chlorzoxazone,Prestw-163,95-25-0,C7H4ClNO2,['Central Nervous System'],"['Anticonvulsant', 'Muscle relaxant']"
196,Plate03,A05,Ornidazole,Prestw-164,16773-42-5,C7H10ClN3O3,"['Infectiology', 'Metabolism']","['Antibacterial', 'Antiparasitic', 'Antiprotozoal', 'Antitrichomonal']"
197,Plate03,A06,Ethosuximide,Prestw-165,77-67-8,C7H11NO2,['Central Nervous System'],['Anticonvulsant']
198,Plate03,A07,Mafenide hydrochloride,Prestw-166,138-37-4,C7H11ClN2O2S,"['Infectiology', 'Metabolism']","['Antibacterial', 'Antiseptic']"
199,Plate03,A08,Riluzole hydrochloride,Prestw-167,not available,C8H6ClF3N2OS,['Central Nervous System'],"['Antispastic', 'Neuroprotectant']"
200,Plate03,A09,Nitrofurantoin,Prestw-168,67-20-9,C8H6N4O5,['Infectiology'],['Antibacterial']
201,Plate03,A10,Hydralazine hydrochloride,Prestw-169,304-20-1,C8H9ClN4,['Cardiovascular'],['Antihypertensive']
202,Plate03,A11,Phenelzine sulfate,Prestw-170,156-51-4,C8H14N2O4S,['Central Nervous System'],['Antidepressant']
203,Plate03,A12,DMSO,,,,,
204,Plate03,B01,DMSO,,,,,
205,Plate03,B02,Tranexamic acid,Prestw-171,1197-18-8,C8H15NO2,['Hematology'],['Hemostatic']
206,Plate03,B03,Etofylline,Prestw-172,519-37-9,C9H12N4O3,"['Cardiovascular', 'Respiratory']","['Antispastic', 'Bronchodilator', 'Cardiotonic', 'Diuretic']"
207,Plate03,B04,Tranylcypromine hydrochloride,Prestw-173,1986-47-6,C9H12ClN,['Central Nervous System'],['Antidepressant']
208,Plate03,B05,Alverine citrate salt,Prestw-174,5560-59-8,C26H35NO7,['Neuromuscular'],['Antispastic']
209,Plate03,B06,Aceclofenac,Prestw-175,89796-99-6,C16H13Cl2NO4,"['Central Nervous System', 'Metabolism']","['Analgesic', 'Anti-inflammatory']"
210,Plate03,B07,Iproniazide phosphate,Prestw-176,305-33-9,C9H16N3O5P,"['Cardiovascular', 'Central Nervous System']","['Antidepressant', 'Antihypertensive']"
211,Plate03,B08,Sulfamethoxazole,Prestw-177,723-46-6,C10H11N3O3S,"['Infectiology', 'Metabolism']",['Antibacterial']
212,Plate03,B09,Mephenesin,Prestw-178,59-47-2,C10H14O3,"['Central Nervous System', 'Neuromuscular']","['Anticonvulsant', 'Local anesthetic', 'Muscle relaxant']"
213,Plate03,B10,Phenformin hydrochloride,Prestw-179,834-28-6,C10H16ClN5,['Endocrinology'],['Antidiabetic']
