,Plate 384,Well 384,Plate 96,Well 96,Chemical name,Prestwick number,CAS number,Chemical formula,Class,Effect
13,Plate01,A14,Plate02,A07,Acyclovir,Prestw-86,59277-89-3,C8H11N5O3,['Metabolism'],['Antiviral']
14,Plate01,A15,Plate01,A08,Amiloride hydrochloride dihydrate,Prestw-7,17440-83-4,C6H13Cl2N7O3,['Metabolism'],"['Antihypertensive', 'Diuretic']"
15,Plate01,A16,Plate02,A08,Diazoxide,Prestw-87,364-98-7,C8H7ClN2O2S,"['Cardiovascular', 'Metabolism']","['Antidiuretic', 'Antihypertensive', 'Vasodilator']"
16,Plate01,A17,Plate01,A09,Amprolium hydrochloride,Prestw-8,137-88-2,C14H20Cl2N4,"['Infectiology', 'Metabolism']","['Anticoccidial', 'Antiparasitic']"
17,Plate01,A18,Plate02,A09,Amidopyrine,Prestw-88,58-15-1,C13H17N3O,"['Central Nervous System', 'Metabolism']","['Analgesic', 'Anti-inflammatory', 'Antipyretic']"
18,Plate01,A19,Plate01,A10,Hydrochlorothiazide,Prestw-9,58-93-5,C7H8ClN3O4S2,['Metabolism'],"['Antihypertensive', 'Diuretic']"
19,Plate01,A20,Plate02,A10,Busulfan,Prestw-1179,55-98-1,C6H14O6S2,['Oncology'],['Antineoplastic']
20,Plate01,A21,Plate01,A11,Sulfaguanidine,Prestw-10,57-67-0,C7H10N4O2S,"['Infectiology', 'Metabolism']",['Antibacterial']
21,Plate01,A22,Plate02,A11,Pindolol,Prestw-90,13523-86-9,C14H20N2O2,"['Cardiovascular', 'Ophthalmology']","['Antianginal', 'Antiarrhythmic', 'Antiglaucoma', 'Antihypertensive']"
22,Plate01,A23,Plate01,A12,DMSO,nan,nan,nan,,
23,Plate01,A24,Plate02,A12,DMSO,nan,nan,nan,,
24,Plate01,B01,Plate03,A01,DMSO,nan,nan,nan,,
25,Plate01,B02,Plate04,A01,DMSO,nan,nan,nan,,
26,Plate01,B03,Plate03,A02,Isoniazid,Prestw-161,54-85-3,C6H7N3O,"['Infectiology', 'Metabolism']",['Antibacterial']
27,Plate01,B04,Plate04,A02,Mexiletine hydrochloride,Prestw-241,5370-01-4,C11H18ClNO,"['Cardiovascular', 'Neuromuscular']","['Antiarrhythmic', 'Local anesthetic']"
28,Plate01,B05,Plate03,A03,Pentylenetetrazole,Prestw-162,54-95-5,C6H10N4,"['Central Nervous System', 'Respiratory']","['Analeptic', 'CNS Stimulant']"
29,Plate01,B06,Plate04,A03,Flavoxate hydrochloride,Prestw-242,3717-88-2,C24H26ClNO4,['Metabolism'],['Antispastic']
30,Plate01,B07,Plate03,A04,Chlorzoxazone,Prestw-163,95-25-0,C7H4ClNO2,['Central Nervous System'],"['Anticonvulsant', 'Muscle relaxant']"
31,Plate01,B08,Plate04,A04,Bufexamac,Prestw-243,2438-72-4,C12H17NO3,"['Central Nervous System', 'Metabolism']","['Analgesic', 'Anti-inflammatory', 'Antipyretic']"
32,Plate01,B09,Plate03,A05,Ornidazole,Prestw-164,16773-42-5,C7H10ClN3O3,"['Infectiology', 'Metabolism']","['Antibacterial', 'Antiparasitic', 'Antiprotozoal', 'Antitrichomonal']"
33,Plate01,B10,Plate04,A05,"Glutethimide, para-amino",Prestw-244,125-84-8,C13H16N2O2,['Oncology'],['Antineoplastic']
34,Plate01,B11,Plate03,A06,Ethosuximide,Prestw-165,77-67-8,C7H11NO2,['Central Nervous System'],['Anticonvulsant']
35,Plate01,B12,Plate04,A06,"Dropropizine (R,S)",Prestw-245,17692-31-8,C13H20N2O2,['Respiratory'],['Antitussive']
36,Plate01,B13,Plate03,A07,Mafenide hydrochloride,Prestw-166,138-37-4,C7H11ClN2O2S,"['Infectiology', 'Metabolism']","['Antibacterial', 'Antiseptic']"
37,Plate01,B14,Plate04,A07,Pinacidil,Prestw-246,85371-64-8,C13H19N5,['Cardiovascular'],"['Antihypertensive', 'Vasodilator']"
38,Plate01,B15,Plate03,A08,Riluzole hydrochloride,Prestw-167,not available,C8H6ClF3N2OS,['Central Nervous System'],"['Antispastic', 'Neuroprotectant']"
39,Plate01,B16,Plate04,A08,Albendazole,Prestw-247,54965-21-8,C12H15N3O2S,['Metabolism'],"['Antihelmintic', 'Antiparasitic']"
40,Plate01,B17,Plate03,A09,Nitrofurantoin,Prestw-168,67-20-9,C8H6N4O5,['Infectiology'],['Antibacterial']
41,Plate01,B18,Plate04,A09,Clonidine hydrochloride,Prestw-248,4205-91-8,C9H10Cl3N3,"['Cardiovascular', 'Central Nervous System']","['Analgesic', 'Antihypotensive', 'Sedative']"
42,Plate01,B19,Plate03,A10,Hydralazine hydrochloride,Prestw-169,304-20-1,C8H9ClN4,['Cardiovascular'],['Antihypertensive']
43,Plate01,B20,Plate04,A10,Bupropion hydrochloride,Prestw-249,31677-93-7,C13H19Cl2NO,['Central Nervous System'],['Antidepressant']
44,Plate01,B21,Plate03,A11,Phenelzine sulfate,Prestw-170,156-51-4,C8H14N2O4S,['Central Nervous System'],['Antidepressant']
45,Plate01,B22,Plate04,A11,Alprenolol hydrochloride,Prestw-250,13707-88-5,C15H24ClNO2,['Cardiovascular'],"['Antianginal', 'Antiarrhythmic', 'Antihypertensive']"
46,Plate01,B23,Plate03,A12,DMSO,nan,nan,nan,,
47,Plate01,B24,Plate04,A12,DMSO,nan,nan,nan,,
48,Plate01,C01,Plate01,B01,DMSO,nan,nan,nan,,
49,Plate01,C02,Plate02,B01,DMSO,nan,nan,nan,,
50,Plate01,C03,Plate01,B02,Meticrane,Prestw-11,1084-65-7,C10H13NO4S2,['Metabolism'],"['Antihypertensive', 'Diuretic']"
51,Plate01,C04,Plate02,B02,Khellin,Prestw-91,82-02-0,C14H12O5,"['Cardiovascular', 'Gastroenterology', 'Respiratory']","['Antispastic', 'Antitussive', 'Vasodilator']"
52,Plate01,C05,Plate01,B03,Benzonatate,Prestw-12,104-31-4,C30H53NO11,['Neuromuscular'],"['Antitussive', 'Local anesthetic']"
53,Plate01,C06,Plate02,B03,Zimelidine dihydrochloride monohydrate,Prestw-92,61129-30-4,C16H21BrCl2N2O,['Central Nervous System'],['Antidepressant']
54,Plate01,C07,Plate01,B04,Hydroflumethiazide,Prestw-13,135-09-1,C8H8F3N3O4S2,['Metabolism'],"['Antihypertensive', 'Diuretic']"
55,Plate01,C08,Plate02,B04,Azacyclonol,Prestw-93,115-46-8,C18H21NO,['Central Nervous System'],['Antipsychotic']
56,Plate01,C09,Plate01,B05,Sulfacetamide sodic hydrate,Prestw-14,6209-17-2,C8H11N2NaO4S,"['Dermatology', 'Infectiology', 'Metabolism']","['Antibacterial', 'Antipsoriatic']"
57,Plate01,C10,Plate02,B05,Azathioprine,Prestw-94,446-86-6,C9H7N7O2S,['Oncology'],"['Antineoplastic', 'Immunosuppressant']"
58,Plate01,C11,Plate01,B06,Heptaminol hydrochloride,Prestw-15,543-15-7,C8H20ClNO,['Cardiovascular'],"['Analeptic', 'Positive inotropic', 'Vasodilator']"
59,Plate01,C12,Plate02,B06,Lynestrenol,Prestw-95,52-76-6,C20H28O,['Endocrinology'],['Contraceptive']
60,Plate01,C13,Plate01,B07,Sulfathiazole,Prestw-16,72-14-0,C9H9N3O2S2,"['Infectiology', 'Metabolism']",['Antibacterial']
61,Plate01,C14,Plate02,B07,Guanabenz acetate,Prestw-96,23256-50-0,C10H12Cl2N4O2,['Central Nervous System'],['Antihypertensive']
62,Plate01,C15,Plate01,B08,Levodopa,Prestw-17,59-92-7,C9H11NO4,['Central Nervous System'],['Antiparkinsonian']
63,Plate01,C16,Plate02,B08,Disulfiram,Prestw-97,97-77-8,C10H20N2S4,['Metabolism'],['Antabuse effect']
64,Plate01,C17,Plate01,B09,Idoxuridine,Prestw-18,54-42-2,C9H11IN2O5,['Infectiology'],['Antiviral']
65,Plate01,C18,Plate02,B09,Acetylsalicylsalicylic acid,Prestw-98,530-75-6,C16H12O6,"['Central Nervous System', 'Metabolism']","['Analgesic', 'Anticoagulant', 'Anti-inflammatory', 'Antipyretic']"
66,Plate01,C19,Plate01,B10,Captopril,Prestw-19,62571-86-2,C9H15NO3S,['Cardiovascular'],"['Antihypertensive', 'Vasodilator']"
67,Plate01,C20,Plate02,B10,Mianserine hydrochloride,Prestw-99,21535-47-7,C18H21ClN2,['Cardiovascular'],"['Antidepressant', 'Anxiolytic']"
68,Plate01,C21,Plate01,B11,Minoxidil,Prestw-20,38304-91-5,C9H15N5O,['Cardiovascular'],"['Anti-alopecia', 'Antihypertensive', 'Vasodilator']"
69,Plate01,C22,Plate02,B11,Nocodazole,Prestw-100,31430-18-9,C14H11N3O3S,['Oncology'],['Antineoplastic']
70,Plate01,C23,Plate01,B12,DMSO,nan,nan,nan,,
71,Plate01,C24,Plate02,B12,DMSO,nan,nan,nan,,
72,Plate01,D01,Plate03,B01,DMSO,nan,nan,nan,,
73,Plate01,D02,Plate04,B01,DMSO,nan,nan,nan,,
74,Plate01,D03,Plate03,B02,Tranexamic acid,Prestw-171,1197-18-8,C8H15NO2,['Hematology'],['Hemostatic']
75,Plate01,D04,Plate04,B02,Chlorothiazide,Prestw-251,58-94-6,C7H6ClN3O4S2,['Metabolism'],"['Antihypertensive', 'Diuretic']"
76,Plate01,D05,Plate03,B03,Etofylline,Prestw-172,519-37-9,C9H12N4O3,"['Cardiovascular', 'Respiratory']","['Antispastic', 'Bronchodilator', 'Cardiotonic', 'Diuretic']"
77,Plate01,D06,Plate04,B03,Diphenidol hydrochloride,Prestw-252,3254-89-5,C21H28ClNO,['Central Nervous System'],"['Antiemetic', 'Antivertigo']"
78,Plate01,D07,Plate03,B04,Tranylcypromine hydrochloride,Prestw-173,1986-47-6,C9H12ClN,['Central Nervous System'],['Antidepressant']
79,Plate01,D08,Plate04,B04,Norethindrone,Prestw-253,68-22-4,C20H26O2,['Endocrinology'],['Contraceptive']
80,Plate01,D09,Plate03,B05,Alverine citrate salt,Prestw-174,5560-59-8,C26H35NO7,['Neuromuscular'],['Antispastic']
81,Plate01,D10,Plate04,B05,Nortriptyline hydrochloride,Prestw-254,894-71-3,C19H22ClN,['Central Nervous System'],"['Antidepressant', 'CNS Stimulant']"
82,Plate01,D11,Plate03,B06,Aceclofenac,Prestw-175,89796-99-6,C16H13Cl2NO4,"['Central Nervous System', 'Metabolism']","['Analgesic', 'Anti-inflammatory']"
83,Plate01,D12,Plate04,B06,Niflumic acid,Prestw-255,4394-00-7,C13H9F3N2O2,"['Central Nervous System', 'Metabolism']","['Analgesic', 'Anti-inflammatory', 'Antipyretic']"
84,Plate01,D13,Plate03,B07,Iproniazide phosphate,Prestw-176,305-33-9,C9H16N3O5P,"['Cardiovascular', 'Central Nervous System']","['Antidepressant', 'Antihypertensive']"
85,Plate01,D14,Plate04,B07,Isotretinoin,Prestw-256,4759-48-2,C20H28O2,['Dermatology'],['Keratolytic']
86,Plate01,D15,Plate03,B08,Sulfamethoxazole,Prestw-177,723-46-6,C10H11N3O3S,"['Infectiology', 'Metabolism']",['Antibacterial']
87,Plate01,D16,Plate04,B08,Retinoic acid ,Prestw-257,302-79-4,C20H28O2,['Dermatology'],['Keratolytic']
88,Plate01,D17,Plate03,B09,Mephenesin,Prestw-178,59-47-2,C10H14O3,"['Central Nervous System', 'Neuromuscular']","['Anticonvulsant', 'Local anesthetic', 'Muscle relaxant']"
89,Plate01,D18,Plate04,B09,Antazoline hydrochloride,Prestw-258,2508-72-7,C17H20ClN3,"['Allergology', 'Central Nervous System']","['Antihistaminic', 'Sedative']"
90,Plate01,D19,Plate03,B10,Phenformin hydrochloride,Prestw-179,834-28-6,C10H16ClN5,['Endocrinology'],['Antidiabetic']
91,Plate01,D20,Plate04,B10,Ethacrynic acid,Prestw-259,58-54-8,C13H12Cl2O4,['Metabolism'],['Diuretic']
92,Plate01,D21,Plate03,B11,Flutamide,Prestw-180,13311-84-7,C11H11F3N2O3,['Oncology'],['Antineoplastic']
93,Plate01,D22,Plate04,B11,Praziquantel,Prestw-260,55268-74-1,C19H24N2O2,['Infectiology'],['Antihelmintic']
94,Plate01,D23,Plate03,B12,DMSO,nan,nan,nan,,
95,Plate01,D24,Plate04,B12,DMSO,nan,nan,nan,,
96,Plate01,E01,Plate01,C01,DMSO,nan,nan,nan,,
97,Plate01,E02,Plate02,C01,DMSO,nan,nan,nan,,
98,Plate01,E03,Plate01,C02,Sulfaphenazole,Prestw-21,526-08-9,C15H14N4O2S,"['Infectiology', 'Metabolism']",['Antibacterial']
99,Plate01,E04,Plate02,C02,R(-) Apomorphine hydrochloride hemihydrate,Prestw-101,41372-20-7,C34H38Cl2N2O5,['Central Nervous System'],"['Antiparkinsonian', 'Emetic']"
100,Plate01,E05,Plate01,C03,Panthenol (D),Prestw-22,81-13-0,C9H19NO4,['Metabolism'],['Anti-alopecia']
101,Plate01,E06,Plate02,C03,Amoxapine,Prestw-102,14028-44-5,C17H16ClN3O,['Central Nervous System'],"['Antidepressant', 'Antipsychotic']"
102,Plate01,E07,Plate01,C04,Sulfadiazine,Prestw-23,68-35-9,C10H10N4O2S,"['Infectiology', 'Metabolism']",['Antibacterial']
103,Plate01,E08,Plate02,C04,Cyproheptadine hydrochloride,Prestw-103,969-33-5,C21H22ClN,"['Allergology', 'Central Nervous System']","['Antihistaminic', 'Antipruritic', 'Sedative']"
104,Plate01,E09,Plate01,C05,Norethynodrel,Prestw-24,68-23-5,C20H26O2,['Endocrinology'],['Contraceptive']
105,Plate01,E10,Plate02,C05,Famotidine,Prestw-104,76824-35-6,C8H15N7O2S3,['Gastroenterology'],['Antiulcer']
106,Plate01,E11,Plate01,C06,Thiamphenicol,Prestw-25,15318-45-3,C12H15Cl2NO5S,"['Infectiology', 'Metabolism']",['Antibacterial']
107,Plate01,E12,Plate02,C06,Danazol,Prestw-105,17230-88-5,C22H27NO2,['Endocrinology'],"['Anabolic', 'Antigonadotropin']"
108,Plate01,E13,Plate01,C07,Cimetidine,Prestw-26,51481-61-9,C10H16N6S,['Gastroenterology'],['Antiulcer']
109,Plate01,E14,Plate02,C07,Nicorandil,Prestw-106,65141-46-0,C8H9N3O4,['Cardiovascular'],"['Antianginal', 'Vasodilator']"
110,Plate01,E15,Plate01,C08,Doxylamine succinate,Prestw-27,562-10-7,C21H28N2O5,"['Allergology', 'Central Nervous System']","['Anti-anorectic', 'Antiemetic', 'Antihistaminic', 'Antitussive', 'Sedative']"
111,Plate01,E16,Plate02,C08,Pioglitazone,Prestw-1314,111025-46-8,C19H20N2O3S,"['Endocrinology', 'Metabolism']",[nan]
112,Plate01,E17,Plate01,C09,Ethambutol dihydrochloride,Prestw-28,1070-11-7,C10H26Cl2N2O2,['Infectiology'],['Antibacterial']
113,Plate01,E18,Plate02,C09,Nomifensine maleate,Prestw-108,32795-47-4,C20H22N2O4,['Central Nervous System'],['Antidepressant']
114,Plate01,E19,Plate01,C10,Antipyrine,Prestw-29,60-80-0,C11H12N2O,"['Central Nervous System', 'Metabolism']","['Analgesic', 'Anti-inflammatory', 'Antipyretic']"
115,Plate01,E20,Plate02,C10,Dizocilpine maleate,Prestw-109,77086-22-7,C20H19NO4,['Central Nervous System'],['Anticonvulsant']
116,Plate01,E21,Plate01,C11,"Antipyrine, 4-hydroxy",Prestw-30,1672-63-5,C11H12N2O2,['Metabolism'],[nan]
117,Plate01,E22,Plate02,C11,Oxandrolone,Prestw-1192,53-39-4,C19H30O3,['Endocrinology'],[nan]
118,Plate01,E23,Plate01,C12,DMSO,nan,nan,nan,,
119,Plate01,E24,Plate02,C12,DMSO,nan,nan,nan,,
120,Plate01,F01,Plate03,C01,DMSO,nan,nan,nan,,
121,Plate01,F02,Plate04,C01,DMSO,nan,nan,nan,,
122,Plate01,F03,Plate03,C02,Ampyrone,Prestw-181,83-07-8,C11H13N3O,"['Central Nervous System', 'Metabolism']","['Analgesic', 'Anticoagulant', 'Anti-inflammatory', 'Antipyretic']"
123,Plate01,F04,Plate04,C02,Ethisterone,Prestw-261,434-03-7,C21H28O2,['Endocrinology'],['Contraceptive']
124,Plate01,F05,Plate03,C03,Levamisole hydrochloride,Prestw-182,16595-80-5,C11H13ClN2S,"['Immunology', 'Infectiology', 'Metabolism']","['Antihelmintic', 'Immunomodulator']"
125,Plate01,F06,Plate04,C03,Triprolidine hydrochloride,Prestw-262,550-70-9,C19H23ClN2,"['Allergology', 'Central Nervous System']","['Antihistaminic', 'Sedative']"
126,Plate01,F07,Plate03,C04,Pargyline hydrochloride,Prestw-183,306-07-0,C11H14ClN,"['Cardiovascular', 'Central Nervous System']","['Antidepressant', 'Antihypertensive']"
127,Plate01,F08,Plate04,C04,Doxepin hydrochloride,Prestw-263,1229-29-4,C19H22ClNO,"['Allergology', 'Central Nervous System']","['Anticonvulsant', 'Antidepressant', 'Antipruritic', 'Antispastic', 'Muscle relaxant']"
128,Plate01,F09,Plate03,C05,Methocarbamol,Prestw-184,532-03-6,C11H15NO5,['Central Nervous System'],"['Analgesic', 'Muscle relaxant']"
129,Plate01,F10,Plate04,C05,Dyclonine hydrochloride,Prestw-264,536-43-6,C18H28ClNO2,['Neuromuscular'],['Local anesthetic']
130,Plate01,F11,Plate03,C06,Aztreonam,Prestw-185,78110-38-0,C13H17N5O8S2,"['Infectiology', 'Metabolism']",['Antibacterial']
131,Plate01,F12,Plate04,C06,Dimenhydrinate,Prestw-265,523-87-5,C24H28ClN5O3,"['Allergology', 'Central Nervous System']","['Antiemetic', 'Antihistaminic', 'Antivertigo']"
132,Plate01,F13,Plate03,C07,Cloxacillin sodium salt,Prestw-186,642-78-4,C19H17ClN3NaO5S,"['Infectiology', 'Metabolism']",['Antibacterial']
133,Plate01,F14,Plate04,C07,Disopyramide,Prestw-266,3737-09-5,C21H29N3O,['Cardiovascular'],['Antiarrhythmic']
134,Plate01,F15,Plate03,C08,Catharanthine,Prestw-187,2468-21-5,C21H24N2O2,['Oncology'],['Antineoplastic']
135,Plate01,F16,Plate04,C08,Clotrimazole,Prestw-267,23593-75-1,C22H17ClN2,['Infectiology'],"['Antibacterial', 'Antifungal']"
136,Plate01,F17,Plate03,C09,Pentolinium bitartrate,Prestw-188,52-62-0,C23H42N2O12,['Cardiovascular'],['Antihypertensive']
137,Plate01,F18,Plate04,C09,Vinpocetine,Prestw-268,42971-09-5,C22H26N2O2,"['Cardiovascular', 'Central Nervous System']","['CNS Stimulant', 'Neuroprotectant', 'Vasodilator']"
138,Plate01,F19,Plate03,C10,"Aminopurine, 6-benzyl",Prestw-189,1214-39-7,C12H11N5,['Endocrinology'],[nan]
139,Plate01,F20,Plate04,C10,Clomipramine hydrochloride,Prestw-269,17321-77-6,C19H24Cl2N2,['Central Nervous System'],['Antidepressant']
140,Plate01,F21,Plate03,C11,Tolbutamide,Prestw-190,64-77-7,C12H18N2O3S,['Endocrinology'],['Antidiabetic']
141,Plate01,F22,Plate04,C11,Fendiline hydrochloride,Prestw-270,13636-18-5,C23H26ClN,['Cardiovascular'],['Antianginal']
142,Plate01,F23,Plate03,C12,DMSO,nan,nan,nan,,
143,Plate01,F24,Plate04,C12,DMSO,nan,nan,nan,,
144,Plate01,G01,Plate01,D01,DMSO,nan,nan,nan,,
145,Plate01,G02,Plate02,D01,DMSO,nan,nan,nan,,
146,Plate01,G03,Plate01,D02,Chloramphenicol,Prestw-31,56-75-7,C11H12Cl2N2O5,"['Infectiology', 'Metabolism']",['Antibacterial']
147,Plate01,G04,Plate02,D02,Naloxone hydrochloride,Prestw-111,357-08-4,C19H22ClNO4,['Central Nervous System'],['Opioate antidote']
148,Plate01,G05,Plate01,D03,Epirizole,Prestw-32,18694-40-1,C11H14N4O2,['Central Nervous System'],"['Analgesic', 'Anti-inflammatory', 'Antipyretic']"
149,Plate01,G06,Plate02,D03,Metolazone,Prestw-112,17560-51-9,C16H16ClN3O3S,['Cardiovascular'],"['Antihypertensive', 'Diuretic']"
150,Plate01,G07,Plate01,D04,Diprophylline,Prestw-33,479-18-5,C10H14N4O4,"['Cardiovascular', 'Respiratory']","['Analeptic', 'Antispastic', 'Bronchodilator', 'Diuretic']"
151,Plate01,G08,Plate02,D04,Ciprofloxacin hydrochloride monohydrate,Prestw-113,93107-08-5,C17H21ClFN3O4,"['Infectiology', 'Metabolism']","['Antibacterial', 'Antiprotozoal']"
152,Plate01,G09,Plate01,D05,Triamterene,Prestw-34,396-01-0,C12H11N7,['Metabolism'],"['Antihypertensive', 'Diuretic']"
153,Plate01,G10,Plate02,D05,Ampicillin trihydrate,Prestw-114,7177-48-2,C16H25N3O7S,"['Infectiology', 'Metabolism']",['Antibacterial']
154,Plate01,G11,Plate01,D06,Dapsone,Prestw-35,80-08-0,C12H12N2O2S,['Infectiology'],"['Antibacterial', 'Antimalarial']"
155,Plate01,G12,Plate02,D06,Haloperidol,Prestw-115,52-86-8,C21H23ClFNO2,['Central Nervous System'],"['Antiemetic', 'Antipsychotic']"
156,Plate01,G13,Plate01,D07,Troleandomycin,Prestw-36,2751-09-9,C41H67NO15,"['Infectiology', 'Metabolism']",['Antibacterial']
157,Plate01,G14,Plate02,D07,Naltrexone hydrochloride dihydrate,Prestw-116,16676-29-2,C20H28ClNO6,['Central Nervous System'],['Analgesic']
158,Plate01,G15,Plate01,D08,Pyrimethamine,Prestw-37,58-14-0,C12H13ClN4,['Infectiology'],"['Antimalarial', 'Antiprotozoal']"
159,Plate01,G16,Plate02,D08,Chlorpheniramine maleate,Prestw-117,113-92-8,C20H23ClN2O4,"['Allergology', 'Central Nervous System']","['Antihistaminic', 'Antitussive', 'Sedative']"
160,Plate01,G17,Plate01,D09,Hexamethonium dibromide dihydrate,Prestw-38,55-97-0,C12H34Br2N2O2,"['Cardiovascular', 'Neuromuscular']",['Antihypertensive']
161,Plate01,G18,Plate02,D09,Nalbuphine hydrochloride,Prestw-118,23277-43-2,C21H28ClNO4,['Central Nervous System'],['Analgesic']
162,Plate01,G19,Plate01,D10,Diflunisal,Prestw-39,22494-42-4,C13H8F2O3,"['Central Nervous System', 'Metabolism']","['Analgesic', 'Anti-inflammatory', 'Antipyretic', 'Uricosuric']"
163,Plate01,G20,Plate02,D10,Picotamide monohydrate,Prestw-119,80530-63-8,C21H22N4O4,['Hematology'],"['Anticoagulant', 'Antiplatelet', 'Thrombolytic']"
164,Plate01,G21,Plate01,D11,Niclosamide,Prestw-40,50-65-7,C13H8Cl2N2O4,['Infectiology'],['Antihelmintic']
165,Plate01,G22,Plate02,D11,Triamcinolone,Prestw-120,124-94-7,C21H27FO6,"['Endocrinology', 'Immunology']","['Anti-inflammatory', 'Immunosuppressant']"
166,Plate01,G23,Plate01,D12,DMSO,nan,nan,nan,,
167,Plate01,G24,Plate02,D12,DMSO,nan,nan,nan,,
168,Plate01,H01,Plate03,D01,DMSO,nan,nan,nan,,
169,Plate01,H02,Plate04,D01,DMSO,nan,nan,nan,,
170,Plate01,H03,Plate03,D02,Midodrine hydrochloride,Prestw-191,3092-17-9,C12H19ClN2O4,['Cardiovascular'],['Antihypertensive']
171,Plate01,H04,Plate04,D02,Vincamine,Prestw-271,1617-90-9,C21H26N2O3,['Central Nervous System'],"['CNS Stimulant', 'Vasodilator']"
172,Plate01,H05,Plate03,D03,Thalidomide,Prestw-192,50-35-1,C13H10N2O4,"['Central Nervous System', 'Immunology']","['Hypnotic', 'Immunosuppressant']"
173,Plate01,H06,Plate04,D03,Indomethacin,Prestw-272,53-86-1,C19H16ClNO4,"['Central Nervous System', 'Metabolism']","['Analgesic', 'Anti-inflammatory', 'Antipyretic', 'Uricosuric']"
174,Plate01,H07,Plate03,D04,Oxolinic acid,Prestw-193,14698-29-4,C13H11NO5,"['Metabolism', 'Infectiology']",['Antibacterial']
175,Plate01,H08,Plate04,D04,Cortisone,Prestw-273,53-06-5,C21H28O5,"['Endocrinology', 'Metabolism']","['Anti-inflammatory', 'Immunosuppressant']"
176,Plate01,H09,Plate03,D05,Nimesulide,Prestw-194,51803-78-2,C13H12N2O5S,['Metabolism'],['Anti-inflammatory']
177,Plate01,H10,Plate04,D05,Prednisolone,Prestw-274,50-24-8,C21H28O5,"['Endocrinology', 'Immunology']","['Anti-inflammatory', 'Immunosuppressant']"
178,Plate01,H11,Plate03,D06,Asenapine maleate,Prestw-1231,85650-56-2,C21H20ClNO5,['Central Nervous System'],['Antipsychotic']
179,Plate01,H12,Plate04,D06,Fenofibrate,Prestw-275,49562-28-9,C20H21ClO4,['Metabolism'],"['Hypocholesterolemic', 'Lipid-lowering', 'Uricosuric']"
180,Plate01,H13,Plate03,D07,Pentoxifylline,Prestw-196,6493-05-6,C13H18N4O3,"['Cardiovascular', 'Respiratory']","['Bronchodilator', 'Vasodilator']"
181,Plate01,H14,Plate04,D07,Bumetanide,Prestw-276,28395-03-1,C17H20N2O5S,['Metabolism'],['Diuretic']
182,Plate01,H15,Plate03,D08,Metaraminol bitartrate,Prestw-197,33402-03-8,C17H25NO14,['Cardiovascular'],"['Antihypotensive', 'Vasoconstrictor']"
183,Plate01,H16,Plate04,D08,Labetalol hydrochloride,Prestw-277,32780-64-6,C19H25ClN2O3,['Cardiovascular'],['Antihypotensive']
184,Plate01,H17,Plate03,D09,Salbutamol,Prestw-198,18559-94-9,C13H21NO3,"['Neuromuscular', 'Respiratory']","['Bronchodilator', 'Tocolytic']"
185,Plate01,H18,Plate04,D09,Cinnarizine,Prestw-278,298-57-7,C26H28N2,"['Allergology', 'Central Nervous System']","['Antihistaminic', 'Antivertigo', 'Sedative', 'Vasodilator']"
186,Plate01,H19,Plate03,D10,Prilocaine hydrochloride,Prestw-199,1786-81-8,C13H21ClN2O,['Neuromuscular'],['Local anesthetic']
187,Plate01,H20,Plate04,D10,"Methylprednisolone, 6-alpha",Prestw-279,83-43-2,C22H30O5,['Endocrinology'],"['Anti-inflammatory', 'Immunosuppressant']"
